id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
746310693460013301,Merion Village Carriage Home | Great Location,436399831,Briana,,Near South,39.9368454,-82.99345869999999,Entire home/apt,65,2,4,2022-12-23,3.75,7,365,4,2022-3318
746384934820892121,The House of Cards - Beautiful Home in Columbus !,158439641,GH Hospitality,,Near South,39.93836,-82.96002,Entire home/apt,221,2,8,2022-12-11,3.87,75,350,8,2022-3069
747028923151572522,German Village High St Lofts | Up to 12 guests!,436399831,Briana,,Near South,39.9422994,-82.9970601,Entire home/apt,145,2,2,2022-11-27,1.30,7,365,2,2022-3313
747051131309642850,The Studer Baker Home| 3bed Southern Orchard Gem |,436399831,Briana,,Near South,39.9433538,-82.9648376,Entire home/apt,87,2,6,2022-12-27,5.62,7,360,6,2022-2662
748515116849447135,LGBTQ+ boutique hotel w/theatre & gym (Rm 1 of 3),302541698,Pride Inn,,Near East,39.9721,-82.95776,Private room,95,1,1,2022-11-16,0.70,3,179,1,2022-1772
749244020807392254,"Glamorous Modern Farmhouse, Great Location!",464429160,Rineeth,,Near East,39.97016,-82.9718,Entire home/apt,110,1,17,2022-12-26,10.63,1,150,17,2022-3102
749435162884100758,"Cozy 2-bedroom unit in the heart of 
Columbus",485716483,Aishia,,Near South,39.9528,-82.94991,Entire home/apt,79,2,2,2022-12-11,2,1,65,2,2022-2979
750116304259358795,Clintonville Ravine Retreat,119188865,Bridgid,,Clintonville,40.04719,-83.01286,Entire home/apt,443,4,3,2022-11-27,2.00,2,138,3,2022-3299
750165755044968357,LGBTQ+ boutique hotel w/theatre & gym (Rm 3 of 3),302541698,Pride Inn,,Near East,39.97204,-82.95656,Private room,125,1,0,,,3,356,0,2022-1772
750218425349427155,"The Patio-Downtown, Old Town East 1 bdrm, perfect!",6180286,Shanna,,Near East,39.96521,-82.98103,Entire home/apt,97,1,5,2022-12-24,3.26,1,355,5,2022-1564
750665994968087341,The Royal Flush - 6 Bedrooms - Hot Tub! - Columbus,158439641,GH Hospitality,,Near North/University,39.99009,-83.00288,Entire home/apt,486,2,5,2022-12-11,2.83,75,353,5,2022-3069
750846422268665786,"Fun Home w/Arcade, 4 beds and Private Backyard",453711433,BlackFrog,,Near South,39.95154,-82.9744,Entire home/apt,103,2,3,2022-12-18,2.81,2,329,3,2022-2754
750943571070955687,*NEW* The Gathering House for Family & Friends,3672442,Filmon,,Near South,39.94742,-82.97159,Entire home/apt,198,2,4,2022-12-04,2.61,1,141,4,2022-3205
751321926194322247,Huge fenced in backyard w/ HOT TUB!,447235921,Traverse,,Near South,39.9512,-82.97086,Entire home/apt,149,1,9,2022-12-24,6.59,3,355,9,2021-3548
751378760596251874,NEW! Welcoming Columbus Retreat: 5 Mi to Downtown!,121719854,Evolve,,Clintonville,40.0262,-83.01802,Entire home/apt,99,2,0,,,17,356,0,2022-2910
751382558309390962,Historic 2 Bedroom Luxury Home with FREE Parking,437855893,Zoey,,North Linden,40.01389,-82.96722,Entire home/apt,138,1,3,2022-11-26,1.84,8,364,3,2021-1062
751394094184653437,The Green Onion Spacious 4 Bed Historical Home OSU,275863235,Bruce,,Near North/University,39.9877353,-83.0164363,Entire home/apt,550,2,1,2022-11-28,1,2,355,1,2022-3344
751639440743536364,Centrally located spacious three bedroom house,486121398,Misty,,West Olentangy,40.03309,-83.03876,Entire home/apt,150,2,0,,,1,135,0,2022-3201
751908183806258539,Charming Family Home; Perfect for Holidays,432404459,Makeda,,Franklinton,39.95528,-83.02745,Entire home/apt,236,1,6,2022-12-18,3.33,1,340,6,2022-3222
752453050970502447,Stylish Private Condo - fenced yard - short north,476758664,John,,Near North/University,39.98977,-82.99928,Entire home/apt,74,2,7,2022-12-23,3.89,4,180,7,2022-2810
752493984480363782,Cozy Brick-Short North Condo - (fenced yard) - OSU,476758664,John,,Near North/University,39.979566167172315,-83.00797199206542,Entire home/apt,83,2,5,2022-12-21,2.78,4,179,5,2022-3391
752526701643296184,Modern Apartment in Prime Location (ID1001X036),263502162,Landing,,Far North,40.13642,-83.00024,Entire home/apt,103,30,0,,,24,330,0,
752529015976195916,Modern Apartment in Prime Location (ID1263X661),263502162,Landing,,Rocky Fork-Blacklick,40.10109,-82.82683,Entire home/apt,86,30,0,,,24,360,0,
752837315054464162,Housepitality - The Study -Downtown 2 BR Lux,26958698,Benjamin,,Downtown,39.95847,-82.98372,Entire home/apt,105,1,1,2022-11-26,0.91,115,365,1,2022-1086
754356556954115596,Flower Power- Modern Retreat,149742461,Corey,,Near East,39.96445,-82.96995,Entire home/apt,74,1,3,2022-12-20,2.81,16,89,3,2022-2292
754385244064284358,Columbus OH Gem- Queen Bunkbeds!,149742461,Corey,,Near East,39.96483,-82.96951,Entire home/apt,87,1,1,2022-12-21,1,16,90,1,2022-2294
754478481223324155,Glam 3 Bed Sanctuary in the Heart of Westerville,129271031,Atabong,,Northland,40.08625,-82.9251,Entire home/apt,125,2,5,2022-12-05,3.26,1,355,5,2022-3340
755110185881961259,Jenny's Palace In The Heart of Columbus!,158439641,GH Hospitality,,Franklinton,39.95662,-83.03228,Entire home/apt,182,2,6,2022-12-19,4.09,75,363,6,2022-3301
